siteidIgnore,carrieridIgnore,internalPlanId,externalPlanId,planName,state,fips,zip,secondExternalPlanId
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477041,1JNTCC900L,Humana Gold Plus H2463-003 (HMO),AZ,04013,85038,0KMS1M015W
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477041,1JNTCC900L,Humana Gold Plus H2463-003 (HMO),AZ,04013,85038,1K760M3YLL
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477042,1KY4CR250Y,Humana Gold Plus H2486-003 (HMO),UT,49011,84016,1K8BSN8YBC
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477042,1KY4CR250Y,Humana Gold Plus H2486-003 (HMO),UT,49035,84088,1BJN98P5B6
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477043,18QPPLSJ04,Humana Community (HMO),ID,16001,83641,19R14ZM1WD
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477043,18QPPLSJ04,Humana Community (HMO),ID,16001,83641,KTWLZKVLTJ
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477044,1NK15WJR16,Humana Gold Plus H2486-006 (HMO),WA,53061,98201,0J907VJ4DM
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477044,1NK15WJR16,Humana Gold Plus H2486-006 (HMO),WA,53061,98201,1T2Z8Z381P
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477045,1MC8K35L1K,Humana Gold Plus H2486-007 (HMO),WA,53011,98664,0JLDLJQR9B
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477045,1MC8K35L1K,Humana Gold Plus H2486-007 (HMO),WA,53011,98682,1MJR02D892
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477046,1BSV170DKB,Humana Gold Plus H2486-008 (HMO),ID,16083,83316,1TR6BK1JBK
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477046,1BSV170DKB,Humana Gold Plus H2486-008 (HMO),ID,16047,83330,1TR6BK1JBK
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477047,1T2Z0176K7,Humana Gold Plus H2486-009 (HMO),OR,41017,97760,19R14ZM1WD
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477047,1T2Z0176K7,Humana Gold Plus H2486-009 (HMO),OR,41031,97760,1TL8JY9PWQ
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477048,0J9WQCNNKS,Humana Gold Choice H2944-013 (PFFS),KS,20065,67625,1N5Y0J40QK
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477048,0J9WQCNNKS,Humana Gold Choice H2944-013 (PFFS),KS,20065,67645,0KMBQR675Z
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477049,0KMBQR675Z,Humana Gold Choice H2944-197 (PFFS),KS,20007,67009,1N5Y0J40QK
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477049,0KMBQR675Z,Humana Gold Choice H2944-197 (PFFS),KS,20013,66439,1N5Y0J40QK
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477050,KTMKPZ7QLJ,Humana Gold Plus SNP-DE H3533-002 (HMO D-SNP),NY,36111,12475,181N482P06
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477050,KTMKPZ7QLJ,Humana Gold Plus SNP-DE H3533-002 (HMO D-SNP),NY,36111,12568,19TLCR5B17
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477051,1J3Q5YNKBM,Humana Gold Plus H3533-006 (HMO),NY,36001,12147,1JV1RMM8QY
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477051,1J3Q5YNKBM,Humana Gold Plus H3533-006 (HMO),NY,36001,12147,18Q31PDS9L
C43F73DD-04E7-EC11-869E-005056BDB5E6,159,477052,1KYYK06CB1,Humana Gold Plus H3533-010 (HMO),NY,36059,11762,1NKM0SB29Y
B60D783C-91E9-EB11-8687-005056BDB5E6,159,477052,1KYYK06CB1,Humana Gold Plus H3533-010 (HMO),NY,36059,11773,1M4DCCJT1B
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477053,18Q31PDS9L,Humana Gold Plus H3533-013 (HMO),NY,36001,12009,1J3Q5YNKBM
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477053,18Q31PDS9L,Humana Gold Plus H3533-013 (HMO),NY,36001,12009,1JV1RMM8QY
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477054,1NKM0SB29Y,Humana Gold Plus H3533-027 (HMO),NY,36005,10451,1NP6J1S40K
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477054,1NKM0SB29Y,Humana Gold Plus H3533-027 (HMO),NY,36005,10452,1MC90LT994
743F73DD-04E7-EC11-869E-005056BDB5E6,159,477055,1MC90LT994,Humana Gold Plus H3533-032 (HMO),NY,36005,10455,1JV1RMM8QY
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477055,1MC90LT994,Humana Gold Plus H3533-032 (HMO),NY,36061,10018,0JBC7Y1YWB
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477056,1BS2QD4MD6,Humana Gold Plus H3533-032 (HMO),NY,36085,10311,1NKM0SB29Y
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477056,1BS2QD4MD6,Humana Gold Plus H3533-032 (HMO),NY,36085,10314,1NKM0SB29Y
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477057,1TTS8ZP3DK,Humana Gold Plus H3533-033 (HMO),NY,36047,11209,1MC90LT994
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477057,1TTS8ZP3DK,Humana Gold Plus H3533-033 (HMO),NY,36047,11252,1MC90LT994
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477058,0JBC7Y1YWB,Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP),NY,36047,11208,1NP6J1S40K
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477058,0JBC7Y1YWB,Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP),NY,36047,11208,1NKM0SB29Y
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477059,0KWKY08QW7,Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP),NY,36005,10452,1MC90LT994
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477059,0KWKY08QW7,Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP),NY,36005,10452,1NKM0SB29Y
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477060,KTM6KTP0Q2,Humana Gold Plus H4007-012 (HMO),PR,72001,00601,1N1J8Q3L01
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477060,KTM6KTP0Q2,Humana Gold Plus H4007-012 (HMO),PR,72001,00601,0JBNV9S7K6
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477061,1J3D1915QV,Humana Gold Plus SNP-DE H4007-016 (HMO D-SNP),PR,72021,00960,1B40Y4961Y
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477061,1J3D1915QV,Humana Gold Plus SNP-DE H4007-016 (HMO D-SNP),PR,72021,00960,1KYL068JQJ
173F73DD-04E7-EC11-869E-005056BDB5E6,159,477062,1KYL068JQJ,Humana Gold Plus SNP-DE H4007-018 (HMO D-SNP),PR,72023,00622,KTMK0JVBD8
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477062,1KYL068JQJ,Humana Gold Plus SNP-DE H4007-018 (HMO D-SNP),PR,72035,00737,0JBNV9S7K6
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477063,18QRQVYR0M,Humana Gold Plus SNP-DE H4007-019 (HMO D-SNP),PR,72021,00961,1TT7Y22N14
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477063,18QRQVYR0M,Humana Gold Plus SNP-DE H4007-019 (HMO D-SNP),PR,72021,00961,0KW6N6C0KK
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477064,1N1J8Q3L01,Humana Gold Plus H4007-020 (HMO),PR,72031,00985,0JBNV9S7K6
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477064,1N1J8Q3L01,Humana Gold Plus H4007-020 (HMO),PR,72031,00985,KTM6KTP0Q2
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477065,1MP575MD1L,Humana Gold Plus H4007-021 (HMO),PR,72013,00688,18QRQVYR0M
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477065,1MP575MD1L,Humana Gold Plus H4007-021 (HMO),PR,72013,00688,1J3D1915QV
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477066,1B40Y4961Y,Humana Gold Plus SNP-DE H4007-022 (HMO D-SNP),PR,72025,00725,KTM6KTP0Q2
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477066,1B40Y4961Y,Humana Gold Plus SNP-DE H4007-022 (HMO D-SNP),PR,72025,00725,1KYL068JQJ
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477067,1TT7Y22N14,Humana Gold Plus H4007-024 (HMO),PR,72005,00690,18QRQVYR0M
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477067,1TT7Y22N14,Humana Gold Plus H4007-024 (HMO),PR,72005,00690,1MP575MD1L
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477068,0JBNV9S7K6,Humana Gold Plus H4007-025 (HMO),PR,72013,00616,18QRQVYR0M
B60D783C-91E9-EB11-8687-005056BDB5E6,159,477068,0JBNV9S7K6,Humana Gold Plus H4007-025 (HMO),PR,72021,00958,18QRQVYR0M
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477069,0KW6N6C0KK,Humana Gold Plus SNP-DE H4007-026 (HMO D-SNP),PR,72021,00934,KTW4QK2KLW
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477069,0KW6N6C0KK,Humana Gold Plus SNP-DE H4007-026 (HMO D-SNP),PR,72021,00934,1TT7Y22N14
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477070,KTW4QK2KLW,Humana Gold Plus SNP-DE H4007-027 (HMO D-SNP),PR,72005,00690,1KYL068JQJ
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477070,KTW4QK2KLW,Humana Gold Plus SNP-DE H4007-027 (HMO D-SNP),PR,72005,00690,KTM6KTP0Q2
B60D783C-91E9-EB11-8687-005056BDB5E6,159,477071,1JZP8CSCL0,Humana Gold Plus SNP-DE H4141-003 (HMO D-SNP),GA,13009,31033,1MPZNWS4B4
B60D783C-91E9-EB11-8687-005056BDB5E6,159,477071,1JZP8CSCL0,Humana Gold Plus SNP-DE H4141-003 (HMO D-SNP),GA,13009,31033,1B4W33JT96
173F73DD-04E7-EC11-869E-005056BDB5E6,159,477072,1KV18RCSB2,Humana Gold Plus H4141-015 (HMO),GA,13063,30228,1MPZNWS4B4
173F73DD-04E7-EC11-869E-005056BDB5E6,159,477072,1KV18RCSB2,Humana Gold Plus H4141-015 (HMO),GA,13063,30228,1T2Z79CD1N
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477073,18887B52BV,Humana Gold Plus H4141-017 (HMO),GA,13031,30460,1889ZVJZ84
5B4073DD-04E7-EC11-869E-005056BDB5E6,159,477073,18887B52BV,Humana Gold Plus H4141-017 (HMO),GA,13031,30460,19R11YNC9Z
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477074,1N1VYM09BJ,Humana Gold Plus H4141-017 (HMO),GA,13007,39837,180QJN6T0P
32A4080D-0EC3-EB11-8686-005056BDB5E6,159,477074,1N1VYM09BJ,Humana Gold Plus H4141-017 (HMO),GA,13007,39837,1JVMTVW5BP
