zip,fips,year,effectiveDate
46072,18159,2023,01-01-2023
89406,32001,2023,01-01-2023
19885,10003,2023,01-01-2023
47966,18165,2023,01-01-2023
71149,22017,2023,01-01-2023
21501,24001,2023,01-01-2023
84515,49019,2023,01-01-2023
30220,13199,2023,01-01-2023
96704,15001,2023,01-01-2023
27957,37015,2023,01-01-2023
44721,39151,2023,01-01-2023
19890,10003,2023,01-01-2023
62854,17025,2023,01-01-2023
26180,54107,2023,01-01-2023
55904,27109,2023,01-01-2023
66015,20003,2023,01-01-2023
45101,39001,2023,01-01-2023
54511,55041,2023,01-01-2023
63544,29171,2023,01-01-2023
61611,17203,2023,01-01-2023
48658,26011,2023,01-01-2023
29051,45027,2023,01-01-2023
52649,19111,2023,01-01-2023
74723,40013,2023,01-01-2023
38652,28115,2023,01-01-2023
38311,47039,2023,01-01-2023
96753,15009,2023,01-01-2023
28738,37087,2023,01-01-2023
68428,31159,2023,01-01-2023
70707,22005,2023,01-01-2023
21214,24510,2023,01-01-2023
58520,38059,2023,01-01-2023
44730,39151,2023,01-01-2023
78154,48187,2023,01-01-2023
50263,19049,2023,01-01-2023
63353,29163,2023,01-01-2023
42742,21001,2023,01-01-2023
83229,16059,2023,01-01-2023
48224,26163,2023,01-01-2023
15274,42003,2023,01-01-2023
32217,12031,2023,01-01-2023
42442,21047,2023,01-01-2023
16223,42005,2023,01-01-2023
98045,53033,2023,01-01-2023
31801,13197,2023,01-01-2023
18622,42079,2023,01-01-2023
88341,35027,2023,01-01-2023
88203,35005,2023,01-01-2023
25507,54099,2023,01-01-2023
51232,19119,2023,01-01-2023
58502,38015,2023,01-01-2023
74458,40145,2023,01-01-2023
32707,12117,2023,01-01-2023
97310,41047,2023,01-01-2023
31716,13205,2023,01-01-2023
57523,31103,2023,01-01-2023
97143,41057,2023,01-01-2023
61130,17201,2023,01-01-2023
16028,42005,2023,01-01-2023
49078,26005,2023,01-01-2023
67732,20181,2023,01-01-2023
24884,54047,2023,01-01-2023
