PharmacyID,PharmacyNPI,Zip,PharmacyNABP
53BJL,1770940306,90069,5658692
MVC2V,1861747495,90069,5664289
8VDCS,1992741508,90069,0594855
XK4ZK,1316123334,90069,5629110
ZVMBN,1114458346,90210,5662778
VZNN5,1013136043,90210,0524327
MK315,1871718783,90210,5615969
1WC3Q,1457838831,90210,5666904
NDKVK,1821454554,90210,5658387
VCNDB,1407965973,90069,0558796
P0MNB,1326100793,90210,0576922
YS82D,1083744916,90210,0525836
3WPJC,1780864298,90212,5658438
M9Q77,1225044514,90210,0516899
3NZ7Y,1952317273,90069,0519528
6PM76,1790288991,90210,5666219
KM0NS,1902827975,90069,0519453
XMSKQ,1265788558,90212,5644530
8BDZ6,1144599911,90212,5642675
CR3W9,1851450944,90212,0557112
6D38C,1851692347,90210,5639349
645YZ,1053353243,90069,5618509
02VJN,1467724716,90069,5643374
KTK9C,1477054567,90048,5665863
822K5,1164455960,90048,5644085
YML1L,1346521390,90212,5658476
P1JDB,1609190602,90048,5655622
YD55M,1114901014,90048,0574776
M4Q6Q,1932193992,90048,0562959
714CL,1174871214,90048,5644895
N0TRS,1396128443,90210,5656167
6859R,1023406428,90048,5655329
7TTW4,1386870921,90048,5666536
CTYWK,1861422941,90048,5665902
655S0,1497130405,90211,5656319
6P0CL,1285675108,90211,5619119
48C1M,1114378619,90048,5660370
V4Y7P,1760827414,90048,5647396
CY5B1,1568051183,90048,5674381
0W1YM,1417978461,90211,0590364
MNR8R,1053451633,90211,0570689
3RJ3N,1083728059,90212,0525848
QRSW8,1669414496,90048,0525925
MVL2M,1558537910,90211,0529389
00W7T,1730304536,90095,5613244
MNWMV,1144203167,90067,0585589
QQ3SN,1598806259,90211,5601794
PWNW5,1427256957,90211,5640152
0K0S1,1275887697,90211,5645734
J73W1,1962541631,90212,0580921
